Product,Weight kg,Height cm,Width cm,Length cm,Volume m³,Store Rating,Store sold,Store Reviews,Price USD/unit,Quantity,Supplier Name,Product page
Outdoor Camping Spice Kit Waterproof,0.46,22,13,8.2,0.0023452,4.7,75,297,7,1,"Shenzhen Baikali Textile Co., Ltd.",https://www.alibaba.com/product-detail/Outdoor-Camping-Spice-Kit-Waterproof-Waxed_1600781590641.html
LiFePO4 Battery Powerstation,14,33.5,22,23,0.016951,4.9,56,139,299,1,"Shenzhen Yunji Intelligent Technology Co., Ltd.",https://www.alibaba.com/product-detail/OUKITEL-1800W-220V-230V-LiFePO4-Battery_1601280537725.html?spm=a2700.9114905.0.0.2753128afGwKAO
Camping Single Folding Cot Tent Bed,6,16,65,76,0.07904,4.7,75,83,21,1,"Yongkang Laiwang Industry And Trade Co., Ltd.",https://www.alibaba.com/product-detail/Wholesales-Outdoor-Multipurpose-Hospital-Office-Camping_1601051142877.html?spm=a2700.9114905.0.0.2753128aHL538V
Camping Fan Led lamp Rechargeable Portable,1.65,23,13,29,0.008671,4.9,37,62,16,1,"Shenzhen An An Sheng Electronic Co., Ltd",https://www.alibaba.com/product-detail/New-Arrivals-20000mAh-58-hour-Camping_1601253947436.html
Foldable Canopy 3x3 Folding Awning Commercial Tent,16.5,150,24,24,0.0864,4.7,6841,1326,24,1,"Shandong Pixingke Outdoor Products Co., Ltd.",https://www.alibaba.com/product-detail/Foldable-Canopy-3x3-Folding-Awning-Commercial_1601516469805.html
Folding Camping Chair,5,34,34,100,0.1156,4.9,573,134,27,1,"Allprostar (xiamen) Industrial Co., Ltd.",https://www.alibaba.com/product-detail/OEM-Strandstoel-Strandstuhl-Campeggio-Silla-De_1600738809211.html
Foldable Portable Barbecue Grill,9,50,40,25,0.05,4.8,13,60,25,1,"Hangzhou Remotioner Technology Co., Ltd.",https://www.alibaba.com/product-detail/Wholesale-Foldable-Portable-Barbecue-Charcoal-Grill_1600658491113.html?spm=a2700.9114905.0.0.2753128ahXIs18
Led Tactical logo Flashlight,0.5,18,5,5,0.00045,4.8,55,1636,8.7,1,"Shenzhen Frio Technology Co., Ltd.",https://www.alibaba.com/product-detail/Fenix-10000-4000-High-Lumens-Led_1601022514222.html?spm=a2700.9114905.0.0.2753128ahXIs18
Portable Mini Camping Gas Stove,6.5,35,35,28,0.0343,5,55,30,40,1,"Zhongshan Luoqi Appliance Co., Ltd.",https://www.alibaba.com/product-detail/Durable-Outdoor-Portable-Mini-Camping-Gas_1601393598870.html?spm=a2700.9114905.0.0.2753128ahXIs18
OEM/ODM Portable 8 Compartment Clear Snack Containers Snackle Box Charcuterie Container,1,34,27,10,0.00918,4.9,3360,272,7,1,"Xiamen Yangda Industry And Trade Co., Ltd",https://www.alibaba.com/product-detail/OEM-ODM-Portable-8-Compartment-Clear_1601634408780.html?spm=a2700.9114905.0.0.2753128ahXIs18
Plastic Cooler Box 32L Box for Outdoor Camping ,7.5,52,35,42,0.07644,4.7,5,48,50,1,"Guangdong Huisu Plastic Technology Co., Ltd.",https://www.alibaba.com/product-detail/Plastic-Cooler-Box-32L-Box-for_1600799864734.html?spm=a2700.prosearch.normal_offer.d_image.3ac767afRGK8Wh&priceId=11b4902bc17b4ee3be116f28cc63c2d1
 Camping Outdoor Oxford Cloth Large Waterproof Two Bedroom,8.9,65,24,24,0.03744,4.3,174,176,50,1,"Yiwu Fucheng International Trade Co., Ltd.",https://www.alibaba.com/product-detail/LOW-MOQ-Custom-5-8-12_1601160918650.html?spm=a2700.9114905.0.0.2753128a5KftZI
800W 220V 230V LiFePO4 Battery Powerstation Outdoor Camping Portable Power Station ,14,33.5,22,23,0.016951,4.3,56,139,300,1,"Shenzhen Yunji Intelligent Technology Co., Ltd.",https://www.alibaba.com/product-detail/OUKITEL-1800W-220V-230V-LiFePO4-Battery_1601280537725.html?spm=a2700.9114905.0.0.2753128a5KftZI
